PolitiFact,The Washington Post
mostly false,half true
false,false
false,false
mostly false,false
mostly false,mostly false
false,false
false,half true
false,false
mostly true,mostly false
mostly false,half true
mostly false,false
mostly false,mostly false
false,false
mostly false,false
false,false
false,false
mostly true,mostly false
false,false
false,false
mostly false,false
false,false
false,false
mostly false,mostly false
false,false
mostly false,mostly false
false,false
false,false
false,false
false,false
false,false
false,false
mostly false,mostly false
mostly false,mostly false
half true,mostly true
mostly false,half true
false,false
mostly false,false
half true,half true
half true,half true
false,false
false,false
half true,half true
half true,mostly false
false,mostly false
mostly false,false
false,false
